"Num","Bib","Gender","Age","Time5k","OfficialTime","Result"
246,3,2,60,1378,13709,12380
247,3,2,60,1426,12553,12808
248,3,2,60,1615,14349,14472
249,3,2,60,1340,12090,12025
250,3,2,60,1536,13164,13796
251,3,2,60,1444,12990,12953
252,3,2,60,1426,13859,12784
253,3,2,60,1614,15557,14533
254,3,2,60,1270,10872,11428
255,3,2,60,1066,9832,9509
256,3,2,60,1974,18786,17749
257,3,2,60,1562,13500,14033
258,3,2,60,1344,11674,12091
259,3,2,60,1460,12979,13136
260,3,2,60,1579,13834,14242
261,3,2,60,1409,11904,12620
262,3,2,60,1429,15430,12855
263,3,2,60,1436,13715,12899
264,3,2,60,1882,18047,16887
265,3,2,60,2067,19825,18567
266,3,2,60,1398,12095,12469
267,3,2,60,1317,13310,11812
268,3,2,60,1606,13898,14419
269,3,2,60,1096,10247,9825
270,3,2,60,1793,17510,16070
271,3,2,60,1313,14774,11713
272,3,2,60,1385,14215,12346
273,3,2,60,1550,13724,13921
274,3,2,60,1296,11479,11555
275,3,2,60,1367,12497,12136
276,3,2,60,1855,21090,16699
277,3,2,60,1365,12742,12233
278,3,2,60,1562,13112,14029
279,3,2,60,1628,12857,14684
280,3,2,60,1502,13812,13466
281,3,2,60,1270,11050,11462
282,3,2,60,1463,13373,13015
283,3,2,60,1309,11555,11686
284,3,2,60,1683,15356,15177
285,3,2,60,1352,12079,12048
286,3,2,60,1337,11306,11966
287,3,2,60,1413,13680,12644
288,3,2,60,1480,20227,13305
289,3,2,60,1537,14459,13833
290,3,2,60,1920,16452,17244
291,3,2,60,1201,10563,10822
292,3,2,60,1447,12119,13020
293,3,2,60,1626,14611,14527
294,3,2,60,1380,13012,12371
295,3,2,60,1215,10352,10963
296,3,2,60,1462,13199,13132
297,3,2,60,1181,10265,10600
298,3,2,60,1622,13232,14605
299,3,2,60,1278,11930,11404
300,3,2,60,1691,14335,15139
301,3,2,60,1163,10183,10428
302,3,2,60,1223,10182,10926
303,3,2,60,1592,15416,14292
304,3,2,60,1327,13170,12031
305,3,2,60,1214,11399,10857
306,3,2,60,1696,13520,15272
307,3,2,60,1237,13021,11037
308,3,2,60,1139,11398,10158
309,3,2,60,1523,13142,13605
310,3,2,60,1418,12523,12710
311,3,2,60,1273,11117,11431
312,3,2,60,1607,14315,14437
313,3,2,60,1338,13063,12004
314,3,2,60,1566,14359,14063
315,3,2,60,1264,10726,11308
316,3,2,60,1467,14278,13235
317,3,2,60,1619,13306,14553
318,3,2,60,1892,18377,16974
319,3,2,60,1568,17354,14122
320,3,2,60,1238,11414,11192
321,3,2,60,1603,14712,14431
322,3,2,60,1535,16174,13817
323,3,2,60,1503,16526,13573
324,3,2,60,1295,12538,11606
325,3,2,60,1555,17253,13971
326,3,2,60,1331,11981,11919
327,3,2,60,1487,13235,13270
328,3,2,60,1488,15008,13410
329,3,2,60,1652,14109,14746
330,3,2,60,1953,20939,17521
331,3,2,60,1596,14993,14365
332,3,2,60,1559,15217,13953
333,3,2,60,1627,13945,14503
334,3,2,60,1377,12441,12334
335,3,2,60,1584,14054,14175
336,3,2,60,1428,13411,12842
337,3,2,60,1643,15969,14694
338,3,2,60,1494,13753,13360
339,3,2,60,1595,14841,14335
340,3,2,60,1095,9903,9800
341,3,2,60,1476,13934,13295
342,3,2,60,1540,14511,13793
343,3,2,60,1829,14973,16410
344,3,2,60,1294,11530,11639
345,3,2,60,1798,16567,16128
346,3,2,60,1099,9553,9927
347,3,2,60,1582,13765,14195
348,3,2,60,1106,10013,9779
349,3,2,60,1680,17366,15107
350,3,2,60,1326,11767,11918
351,3,2,60,1250,10105,11250
352,3,2,60,1414,13916,12661
353,3,2,60,1793,17494,16189
354,3,2,60,1379,14496,12309
355,3,2,60,1535,14791,13738
356,3,2,60,1142,11442,10227
357,3,2,60,1816,16000,16246
358,3,2,60,1514,14563,13567
359,3,2,60,1289,10924,11506
360,3,2,60,1499,13339,13444
361,3,2,60,1256,12185,11247
362,3,2,60,1497,12899,13539
363,3,2,60,1466,15589,13170
364,3,2,60,1627,12582,14664
365,3,2,60,1550,13639,13910
366,3,2,60,1785,14821,16047
367,3,2,60,1590,14218,14296
368,3,2,60,1141,10098,10244
369,3,2,60,1285,12505,11422
370,3,2,60,1599,13841,14448
371,3,2,60,1478,14368,13190
372,3,2,60,1466,13224,13188
373,3,2,60,1547,15984,13701
374,3,2,60,2219,19203,19815
375,3,2,60,1215,10475,10946
376,3,2,60,1675,14747,15020
377,3,2,60,1749,17994,15681
378,3,2,60,1141,10098,10244
379,3,2,60,1714,16771,15410

